,gross_domestic_product,unemployment_rate,inflation_rate,interest_rate,consumer_price_index,producer_price_index,balance_of_trade,industrial_production_index,consumer_confidence_index
1913-08-15,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-16,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-17,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-18,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-19,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-20,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-21,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-22,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-23,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-24,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-25,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-26,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-27,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-28,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-29,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-30,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-08-31,243.164,3.4,9.9,2.83,21.48,12.0,-2026.0,4.8665,86.2
1913-09-01,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-02,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-03,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-04,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-05,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-09-06,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
